Test Case,Experiment,Gen,Best Value,Mean,Standard Deviation,Min,Max
1,1,13,0.057944564783331605,,,,
1,2,192,0.054074541160986325,,,,
1,3,386,0.058259274592353735,,,,
1,4,187,0.017522839222081824,,,,
1,5,453,0.01789140491564635,,,,
1,6,55,0.017726742330018003,,,,
1,7,497,0.008632735959960215,,,,
1,8,256,0.06604317488508005,,,,
1,9,164,2.5827571884342433e-08,,,,
1,10,1,2.5827571884342433e-08,,,,
1,11,218,0.0697080834265367,,,,
1,12,142,0.07039211398971308,,,,
1,13,446,0.0011894152314258423,,,,
1,14,386,0.0011592332295566592,,,,
1,15,288,0.08540462118117233,,,,
1,16,53,0.020862022460111714,,,,
1,17,1,0.12445965049060606,,,,
1,18,155,0.05449055746956873,,,,
1,19,173,0.09481293925558806,,,,
1,20,333,0.09441246899373096,,,,
1,Summary,,,0.0457493217616306,0.036811825010789286,2.5827571884342433e-08,0.12445965049060606
2,1,450,1.237567386296357,,,,
2,2,37,6.054538417288313e-07,,,,
2,3,1,6.054538417288313e-07,,,,
2,4,49,6.054538417288313e-07,,,,
2,5,18,6.054538417288313e-07,,,,
2,6,25,6.054538417288313e-07,,,,
2,7,24,6.054538417288313e-07,,,,
2,8,164,6.054538417288313e-07,,,,
2,9,3,6.054538417288313e-07,,,,
2,10,1,6.054538417288313e-07,,,,
2,11,12,6.054538417288313e-07,,,,
2,12,1,6.054538417288313e-07,,,,
2,13,3,6.054538417288313e-07,,,,
2,14,1,6.054538417288313e-07,,,,
2,15,2,6.054538417288313e-07,,,,
2,16,1,6.054538417288313e-07,,,,
2,17,8,6.054538417288313e-07,,,,
2,18,2,6.054538417288313e-07,,,,
2,19,4,6.054538417288313e-07,,,,
2,20,3,6.054538417288313e-07,,,,
2,Summary,,,0.061878944495967494,0.2697214266787736,6.054538417288313e-07,1.237567386296357
3,1,499,0.16852451774770216,,,,
3,2,255,1.5136346007693646e-06,,,,
3,3,31,1.5136346007693646e-06,,,,
3,4,9,1.5136346007693646e-06,,,,
3,5,92,1.5136346007693646e-06,,,,
3,6,6,1.5136346007693646e-06,,,,
3,7,66,1.5136346007693646e-06,,,,
3,8,1,1.5136346007693646e-06,,,,
3,9,43,1.5136346007693646e-06,,,,
3,10,64,1.5136346007693646e-06,,,,
3,11,52,1.5136346007693646e-06,,,,
3,12,22,1.5136346007693646e-06,,,,
3,13,407,2.630375014979121,,,,
3,14,373,2.6289653901141588,,,,
3,15,497,1.2485111404934752,,,,
3,16,157,1.299580089879253,,,,
3,17,230,1.2600891944400825,,,,
3,18,488,2.519925967240141,,,,
3,19,202,1.5136346007693646e-06,,,,
3,20,50,1.5136346007693646e-06,,,,
3,Summary,,,0.5877995496071872,0.9522107482288475,1.5136346007693646e-06,2.630375014979121
