Test Case,Experiment,Gen,Best Value,Mean,Standard Deviation,Min,Max
1,1,483,8.088363534515279e-06,,,,
1,2,233,4.3476649769099754e-05,,,,
1,3,453,3.9170119487475134e-07,,,,
1,4,252,0.0003254891663482627,,,,
1,5,401,1.1470091486680374e-05,,,,
1,6,111,2.6131225833780827e-07,,,,
1,7,438,3.617589043037072e-05,,,,
1,8,444,3.5993223272046455e-06,,,,
1,9,460,2.9716733022070643e-05,,,,
1,10,265,1.2922871920877165e-05,,,,
1,11,457,7.236133984529411e-05,,,,
1,12,84,4.581102905956139e-06,,,,
1,13,491,4.281136436409316e-07,,,,
1,14,431,5.2066583589527964e-06,,,,
1,15,401,9.242577820546617e-06,,,,
1,16,238,2.998819968596031e-06,,,,
1,17,390,2.093243151496435e-06,,,,
1,18,379,0.0006588993498451458,,,,
1,19,322,8.506060739700684e-05,,,,
1,20,318,5.125293849644242e-05,,,,
1,Summary,,,6.81858426862686e-05,0.00015277597017376846,2.6131225833780827e-07,0.0006588993498451458
2,1,228,0.001744520294444385,,,,
2,2,69,0.0053339847111075755,,,,
2,3,498,0.004742216032013857,,,,
2,4,260,0.04176756581750851,,,,
2,5,387,0.0006661057123764635,,,,
2,6,153,0.0016248325840351185,,,,
2,7,431,0.001327076004987049,,,,
2,8,363,0.0026102146946662685,,,,
2,9,83,0.0023843835979135974,,,,
2,10,354,0.008468411849520407,,,,
2,11,228,0.0016414460227096583,,,,
2,12,275,0.006344648431564792,,,,
2,13,316,0.0003930712361217559,,,,
2,14,292,0.0007053167816337691,,,,
2,15,289,0.005581621805873738,,,,
2,16,283,0.026897409174559073,,,,
2,17,152,0.0023288042085241045,,,,
2,18,120,0.00041514511352502836,,,,
2,19,339,0.0024352016090603,,,,
2,20,385,0.0009120706906884379,,,,
2,Summary,,,0.005916202318641694,0.009995311624520524,0.0003930712361217559,0.04176756581750851
3,1,487,0.11383790361959711,,,,
3,2,495,0.012871105114115267,,,,
3,3,411,0.011298419335020071,,,,
3,4,320,0.07962858195420353,,,,
3,5,439,0.009311172814925328,,,,
3,6,498,0.011196581696623298,,,,
3,7,482,0.049084384925578206,,,,
3,8,387,0.7070533547559563,,,,
3,9,469,0.016828061883721546,,,,
3,10,489,0.05747732605919964,,,,
3,11,402,0.041757636178815005,,,,
3,12,498,0.030551316899533276,,,,
3,13,484,0.005098738396995373,,,,
3,14,409,0.024792628324512123,,,,
3,15,446,1.013229711158175,,,,
3,16,481,0.03939989662708854,,,,
3,17,493,0.009925575036305645,,,,
3,18,485,0.017991723546273874,,,,
3,19,419,0.01971671669670627,,,,
3,20,479,0.30248547125208347,,,,
3,Summary,,,0.12867681531377145,0.2567473696938776,0.005098738396995373,1.013229711158175
